"id","tipo","estado","so","ga_indice","p_indice","t_indice","pc_indice","pc_metodos","pc_respuesta","pc_activacion","pc_celeridad","pg_indice","pg_mec","pg_formato","pg_actores","pg_func","pg_seg","tc_indice","tcai_indice","tcai_completitud","tcai_claridad","tcai_celeridad","tctp_indice","tctp_google","tctp_buscador","tctp_confiabilidad","tctp_comprensibilidad","tctp_interaccion","tctp_fecha_act","tg_indice","tgda_indice","tgda_accesible","tgda_digital","tgda_leg_maq","tgda_gratuito","tgda_lic_abierta","tgda_formato_abierto","tgda_oportuno","tgda_url","tgda_no_disc","tgda_integral","tgda_interaccion","tgta_indice","tgai_indice","tgai_respuesta","tgai_plazo","tgai_prorroga"
1,"Descentralizado","Aguascalientes","Instituto Aguascalentense de la Juventud",0.655372549,0.54,0.770745098,0.51,0.8,1,0,0.25,0.57,1,0.66,0,1,0,0.723843137,0.846405229,1,0.833333333,0.705882353,0.54,1,0,0.25,1,1,0,0.817647059,0,0,0,0,0,0,0,0,0,0,0,0,0.764705882,0.980392157,0.980392157,0.980392157,0.980392157
2,"Descentralizado","Aguascalientes","Secretaría Ejecutiva del Sistema Estatal Anticorrupción de Aguascalientes",0.515225989,0.375,0.655451977,0.75,1,1,0,1,0,0,0,0,0,0,0.430903955,0.718173258,1,0.583333333,0.571186441,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0.933333333,1,1,1,1
3,"Descentralizado","Aguascalientes","Instituto del Deporte del Estado de Aguascalientes",0.497776724,0.29,0.705553447,0.58,1,1,0,0.333333333,0,0,0,0,0,0,0.62344086,0.705734767,1,0.5,0.617204301,0.5,1,1,0,1,0,0,0.787666034,0,0,0,0,0,0,0,0,0,0,0,0,0.647058824,0.989247312,1,0.967741935,1
4,"Descentralizado","Aguascalientes","Instituto del Agua del Estado de Aguascalientes",0.366532738,0.1,0.633065476,0.2,0.8,0,0,0,0,0,0,0,0,0,0.366130952,0.610218254,1,0.25,0.580654762,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
5,"Descentralizado","Aguascalientes","Centro de Conciliación Laboral del Estado de Aguascalientes",0.457162162,0.255,0.659324324,0.51,0.8,1,0,0.25,0,0,0,0,0,0,0.429459459,0.715765766,1,0.5,0.647297297,0,0,0,0,0,0,0,0.889189189,0,0,0,0,0,0,0,0,0,0,0,0,1,0.981981982,0.986486486,0.972972973,0.986486486
6,"Descentralizado","Aguascalientes","Instituto Aguascalentense de las Mujeres",0.405786433,0.125,0.686572867,0.25,1,0,0,0,0,0,0,0,0,0,0.520522523,0.420870871,0.333333333,0.416666667,0.512612613,0.67,1,0.5,0,1,1,0.5,0.852623211,0,0,0,0,0,0,0,0,0,0,0,0,0.941176471,0.95045045,1,0.891891892,0.959459459
7,"Ejecutivo","Aguascalientes","Secretaría de Turismo",0.563635402,0.44,0.687270803,0.88,1,1,1,0.5,0,0,0,0,0,0,0.665883598,0.829805996,0.833333333,1,0.656084656,0.42,1,0.5,0,1,0,0,0.708658009,0,0,0,0,0,0,0,0,0,0,0,0,0.393939394,0.984126984,1,0.952380952,1
8,"Ejecutivo","Aguascalientes","Secretaría de Sustentabilidad, Medio Ambiente y Agua",0.519661719,0.25,0.789323438,0.2,0.8,0,0,0,0.3,1,1,0,0,0,0.855455782,0.899092971,1,1,0.697278912,0.79,1,1,0.25,1,1,0.5,0.723191095,0,0,0,0,0,0,0,0,0,0,0,0,0.424242424,0.993197279,1,0.979591837,1
9,"Fideicomiso","Aguascalientes","Fideicomiso Aguascalientes",0.059821429,0,0.119642857,0,0,0,0,0,0,0,0,0,0,0,0.125,0.208333333,0.25,0.375,0,0,0,0,0,0,0,0,0.114285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19047619,0.285714286,0,0.285714286
10,"Fideicomiso","Aguascalientes","Fideicomiso Complejo Tres Centurias",0.576628342,0.45,0.703256684,0.9,0.6,1,1,1,0,0,0,0,0,0,0.662484848,0.797474747,1,0.916666667,0.475757576,0.46,1,0.5,0.25,1,0,0,0.74402852,0,0,0,0,0,0,0,0,0,0,0,0,0.823529412,0.828282828,0.848484848,0.818181818,0.818181818
11,"Judicial","Aguascalientes","Tribunal Electoral del Estado de Aguascalientes",0.551108903,0.5,0.602217806,1,1,1,1,1,0,0,0,0,0,0,0.374864865,0.624774775,0.833333333,0.5,0.540990991,0,0,0,0,0,0,0,0.829570747,0,0,0,0,0,0,0,0,0,0,0,0,0.882352941,0.941441441,1,0.905405405,0.918918919
12,"Partido","Aguascalientes","Movimiento Ciudadano",0.296893939,0.1,0.493787879,0.2,0.8,0,0,0,0,0,0,0,0,0,0.469393939,0.782323232,0.833333333,1,0.513636364,0,0,0,0,0,0,0,0.518181818,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303,0.848484848,0.863636364,0.818181818,0.863636364
13,"Sindicato","Aguascalientes","Sindicato de Trabajadores del Hospital de Psiquiatría ""Dr. Gustavo León Mojica García""",0.203823529,0.39,0.017647059,0.78,0.8,1,1,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035294118,0,0,0,0,0,0,0,0,0,0,0,0,0.117647059,0,0,0,0
14,"Sindicato","Aguascalientes","Sindicato Único de Trabajadores del Hospital Miguel Hidalgo",0.311168301,0.075,0.547336601,0.15,0.6,0,0,0,0,0,0,0,0,0,0.450555556,0.750925926,0.833333333,0.75,0.669444444,0,0,0,0,0,0,0,0.644117647,0,0,0,0,0,0,0,0,0,0,0,0,0.147058824,1,1,1,1
15,"IES","Aguascalientes","Universidad de la Policía y Ciencias de la Seguridad",0.596225694,0.41,0.782451389,0.82,0.8,1,1,0.5,0,0,0,0,0,0,0.711777778,0.712962963,0.666666667,0.75,0.722222222,0.71,1,0.5,0.25,1,1,0.5,0.853125,0,0,0,0,0,0,0,0,0,0,0,0,0.84375,1,1,1,1
16,"IES","Aguascalientes","Universidad Tecnológica de Aguascalientes",0.336096579,0.05,0.622193158,0.1,0.4,0,0,0,0,0,0,0,0,0,0.620794326,0.647990544,0.833333333,0.833333333,0.277304965,0.58,1,0.5,0,1,1,0,0.62359199,0,0,0,0,0,0,0,0,0,0,0,0,0.617647059,0.730496454,0.829787234,0.531914894,0.829787234
17,"Fideicomiso","Aguascalientes","Fideicomiso Fondo de Fomento Agropecuario del Estado de Aguascalientes",0.216960784,0,0.433921569,0,0,0,0,0,0,0,0,0,0,0,0.326666667,0.544444444,0.666666667,0.666666667,0.3,0,0,0,0,0,0,0,0.541176471,0,0,0,0,0,0,0,0,0,0,0,0,0.470588235,0.666666667,0.692307692,0.615384615,0.692307692
18,"Fideicomiso","Aguascalientes","Fideicomiso Fondo de Desastres Naturales del Estado Aguascalientes",0.281949891,0,0.563899782,0,0,0,0,0,0,0,0,0,0,0,0.430740741,0.717901235,1,0.416666667,0.737037037,0,0,0,0,0,0,0,0.697058824,0,0,0,0,0,0,0,0,0,0,0,0,0.323529412,1,1,1,1
19,"Sindicato","Aguascalientes","Sindicato de Trabajadores del Instituto Cultural de Aguascalientes",0.400568627,0.41,0.391137255,0.82,0.8,1,1,0.5,0,0,0,0,0,0,0.369333333,0.615555556,1,0.5,0.346666667,0,0,0,0,0,0,0,0.412941176,0,0,0,0,0,0,0,0,0,0,0,0,0.176470588,0.6,0.6,0.6,0.6
20,"Sindicato","Aguascalientes","Sindicato Único de Trabajadores Estatales y Municipales del Estado de Aguascalientes",0.324112487,0.1,0.548224974,0.2,0.8,0,0,0,0,0,0,0,0,0,0.443508772,0.739181287,0.666666667,0.833333333,0.71754386,0,0,0,0,0,0,0,0.652941176,0,0,0,0,0,0,0,0,0,0,0,0,0.176470588,1,1,1,1
21,"IES","Aguascalientes","Universidad Autónoma de Aguascalientes",0.421684288,0.1,0.743368576,0.2,0.8,0,0,0,0,0,0,0,0,0,0.607001468,0.731669114,0.833333333,0.833333333,0.528340675,0.42,1,0.5,0,1,0,0,0.879735683,0,0,0,0,0,0,0,0,0,0,0,0,1,0.966226138,0.995594714,0.947136564,0.955947137
22,"IES","Aguascalientes","Universidad Politécnica de Aguascalientes",0.611507625,0.5,0.723015251,1,1,1,1,1,0,0,0,0,0,0,0.594592593,0.710987654,0.833333333,0.75,0.54962963,0.42,1,0.5,0,1,0,0,0.851437908,0,0,0,0,0,0,0,0,0,0,0,0,0.852941176,0.992592593,1,0.977777778,1
23,"Autónomo","Aguascalientes","Comisión de Derechos Humanos del Estado de Aguascalientes",0.512441176,0.29,0.734882353,0.58,1,1,0,0.333333333,0,0,0,0,0,0,0.595394958,0.71232493,0.833333333,0.833333333,0.470308123,0.42,1,0.5,0,1,0,0,0.874369748,0,0,0,0,0,0,0,0,0,0,0,0,0.970588235,0.971988796,0.991596639,0.941176471,0.983193277
24,"Autónomo","Aguascalientes","Fiscalía General",0.522553702,0.385,0.660107403,0.2,0.8,0,0,0,0.57,1,0.66,0,1,0,0.456377231,0.760628718,0.833333333,0.75,0.698552822,0,0,0,0,0,0,0,0.863837576,0,0,0,0,0,0,0,0,0,0,0,0,0.882352941,0.998552822,1,0.995658466,1
25,"Autónomo","Aguascalientes","Instituto Estatal Electoral",0.433102645,0.1,0.76620529,0.2,0.8,0,0,0,0,0,0,0,0,0,0.66904698,0.861744966,1,0.833333333,0.751901566,0.38,1,0,0.25,1,0,0,0.8633636,0,0,0,0,0,0,0,0,0,0,0,0,0.882352941,0.997762864,1,1,0.993288591
26,"Descentralizado","Aguascalientes","DIF",0.765020984,0.675,0.855041968,0.75,1,1,0,1,0.6,1,1,0,1,0,0.834748538,0.804580897,0.833333333,0.916666667,0.66374269,0.88,1,1,0.25,1,1,1,0.875335397,0,0,0,0,0,0,0,0,0,0,0,0,0.941176471,0.988304094,1,0.964912281,1
27,"Descentralizado","Aguascalientes","Instituto de Infraestructura Física Educativa del Estado de Aguascalientes",0.433639929,0.1,0.767279857,0.2,0.8,0,0,0,0,0,0,0,0,0,0.661030303,0.821717172,1,0.666666667,0.798484848,0.42,1,0,0.5,1,0,0,0.873529412,0,0,0,0,0,0,0,0,0,0,0,0,0.911764706,1,1,1,1
28,"Ejecutivo","Aguascalientes","Contraloría del Estado",0.432693062,0.1,0.765386124,0.2,0.8,0,0,0,0,0,0,0,0,0,0.785794872,0.862991453,1,1,0.588974359,0.67,1,0.5,0,1,1,0.5,0.744977376,0,0,0,0,0,0,0,0,0,0,0,0,0.529411765,0.976923077,0.992307692,0.946153846,0.992307692
29,"Ejecutivo","Aguascalientes","Instituto de Educación",0.593939417,0.49,0.697878834,0.75,1,1,0,1,0.23,1,0.33,0,0,0,0.532273504,0.667122507,1,0.5,0.501367521,0.33,1,0,0,1,0,0,0.863484163,0,0,0,0,0,0,0,0,0,0,0,0,0.970588235,0.953846154,0.979487179,0.917948718,0.964102564
30,"Ejecutivo","Aguascalientes","Instituto de Servicios de Salud",0.724749407,0.715,0.734498815,0.9,0.6,1,1,1,0.53,1,0.33,0,1,0,0.612652015,0.607753358,0.666666667,0.666666667,0.48992674,0.62,1,0,0.25,1,1,0.5,0.856345615,0,0,0,0,0,0,0,0,0,0,0,0,0.941176471,0.956654457,0.992673993,0.884615385,0.992673993
31,"Ejecutivo","Aguascalientes","Secretaría General de Gobierno",0.62792913,0.45,0.80585826,0.9,0.6,1,1,1,0,0,0,0,0,0,0.887376344,0.892293907,1,0.916666667,0.760215054,0.88,1,1,0.25,1,1,1,0.724340176,0,0,0,0,0,0,0,0,0,0,0,0,0.424242424,0.995112414,0.997067449,0.994134897,0.994134897
32,"Ejecutivo","Aguascalientes","Secretaría de Desarrollo Económico, Ciencia y Tecnología",0.381756957,0.1,0.663513915,0.2,0.8,0,0,0,0,0,0,0,0,0,0.636489796,0.840816327,0.833333333,1,0.689115646,0.33,1,0,0,1,0,0,0.690538033,0,0,0,0,0,0,0,0,0,0,0,0,0.424242424,0.93877551,0.959183673,0.959183673,0.897959184
33,"Ejecutivo","Aguascalientes","Secretaría de Desarrollo Rural y Agroempresarial",0.359116427,0.1,0.618232855,0.2,0.8,0,0,0,0,0,0,0,0,0,0.519719298,0.64619883,0.666666667,0.666666667,0.605263158,0.33,1,0,0,1,0,0,0.716746411,0,0,0,0,0,0,0,0,0,0,0,0,0.424242424,0.98245614,1,0.947368421,1
34,"Ejecutivo","Aguascalientes","Secretaría de Desarrollo Social",0.67959828,0.635,0.72419656,1,1,1,1,1,0.27,1,0.66,0,0,0,0.738810811,0.784684685,1,0.75,0.604054054,0.67,1,0.5,0,1,1,0.5,0.70958231,0,0,0,0,0,0,0,0,0,0,0,0,0.545454545,0.90990991,0.945945946,0.932432432,0.851351351
35,"Ejecutivo","Aguascalientes","Secretaría de Finanzas",0.51746571,0.375,0.659931419,0.75,1,1,0,1,0,0,0,0,0,0,0.56723126,0.725385433,0.833333333,0.583333333,0.759489633,0.33,1,1,0,0,0,0,0.752631579,0,0,0,0,0,0,0,0,0,0,0,0,0.575757576,0.966507177,0.966507177,0.966507177,0.966507177
36,"Ejecutivo","Aguascalientes","Secretaría de Obras Públicas",0.504362676,0.29,0.718725352,0.58,1,1,0,0.333333333,0,0,0,0,0,0,0.49143662,0.599061033,0.666666667,0.5,0.630516432,0.33,1,1,0,0,0,0,0.946014085,0.77,0.5,1,1,1,1,1,0,1,1,0,1,1,0.948356808,0.957746479,0.929577465,0.957746479
37,"Ejecutivo","Aguascalientes","Secretaría de Seguridad Pública",0.525437229,0.34,0.710874459,0.15,0.6,0,0,0,0.53,1,0.33,0,1,0,0.728126984,0.826878307,1,0.833333333,0.647301587,0.58,1,0.5,0,1,1,0,0.693621934,0,0,0,0,0,0,0,0,0,0,0,0,0.424242424,0.943915344,0.952380952,0.926984127,0.952380952
38,"Judicial","Aguascalientes","Supremo Tribunal de Justicia",0.28633415,0.075,0.497668301,0.15,0.6,0,0,0,0,0,0,0,0,0,0.369944444,0.396574074,0.5,0.333333333,0.356388889,0.33,1,0,0,1,0,0,0.625392157,0,0,0,0,0,0,0,0,0,0,0,0,0.323529412,0.880555556,0.972222222,0.858333333,0.811111111
39,"Legislativo","Aguascalientes","Congreso Estatal",0.601813542,0.46,0.743627084,0.25,1,0,0,0,0.67,1,0.66,1,1,0,0.639370717,0.785617861,1,0.666666667,0.690186916,0.42,1,0.5,0,1,0,0,0.847883452,0,0,0,0,0,0,0,0,0,0,0,0,0.882352941,0.971962617,0.976635514,0.962616822,0.976635514
40,"Legislativo","Aguascalientes","Órgano Superior de Fiscalización",0.571754679,0.465,0.678509358,0.7,0.8,1,0,1,0.23,1,0.33,0,0,0,0.526136364,0.876893939,1,1,0.630681818,0,0,0,0,0,0,0,0.830882353,0,0,0,0,0,0,0,0,0,0,0,0,0.852941176,0.958333333,1,0.920454545,0.954545455
41,"Municipio","Aguascalientes","Aguascalientes",0.687863187,0.59,0.785726375,0.48,0.6,1,0,0.333333333,0.7,1,1,1,1,0,0.647468672,0.825781119,1,0.833333333,0.644010025,0.38,1,0,0.25,1,0,0,0.923984078,0.68,0.5,1,1,1,1,1,0,1,1,0,0,0.882352941,0.985463659,0.986466165,0.983458647,0.986466165
