"estado","ga_indice","p_indice","t_indice","pc_indice","pc_metodos","pc_respuesta","pc_activacion","pc_celeridad","pg_indice","pg_mec","pg_formato","pg_actores","pg_func","pg_seg","tc_indice","tcai_indice","tcai_completitud","tcai_claridad","tcai_celeridad","tctp_indice","tctp_google","tctp_buscador","tctp_confiabilidad","tctp_comprensibilidad","tctp_interaccion","tctp_fecha_act","tg_indice","tgda_indice","tgda_accesible","tgda_digital","tgda_leg_maq","tgda_gratuito","tgda_lic_abierta","tgda_formato_abierto","tgda_oportuno","tgda_url","tgda_no_disc","tgda_integral","tgda_interaccion","tgta_indice","tgai_indice","tgai_respuesta","tgai_plazo","tgai_prorroga"
"Aguascalientes",0.47526911353703705,0.3091666666666667,0.6413715604814815,0.43796296296296294,0.7666666666666667,0.4629629629629629,0.2037037037037037,0.32098765427777776,0.1803703703703704,0.35185185185185175,0.2083333333333333,0.11111111111111108,0.24074074074074073,0.01851851851851853,0.5423841552222222,0.7015044562037037,0.8287037036481482,0.7114197530740741,0.5643899117962963,0.3037037037037037,0.5925925925925926,0.25,0.07870370370370369,0.5555555555555556,0.24074074074074076,0.10185185185185185,0.7403589658518519,0.02685185185185184,0.01851851851851852,0.03703703703703705,0.03703703703703705,0.03703703703703705,0.03703703703703705,0.03703703703703705,0,0.03703703703703705,0.03703703703703705,0,0.01851851851851853,0.6685463705555555,0.8951831158703704,0.9159729454629628,0.8676968773518519,0.9018795247222222
"Baja California",0.46348901891836736,0.27163265306122447,0.6553453846122449,0.4589795918367347,0.7510204081632653,0.48979591836734687,0.28571428571428575,0.3112244897346939,0.08428571428571428,0.16326530612244897,0.08795918367346937,0.06122448979591838,0.12244897959183672,0,0.5759881533061224,0.7682063657021276,0.8723404254893617,0.8475177305106383,0.584760941,0.3346938775510204,0.7346938775510204,0.326530612244898,0.13265306122448978,0.5714285714285714,0.08163265306122448,0.163265306122449,0.7347026161428571,0.03346938775510205,0.04081632653061223,0.04081632653061223,0.04081632653061223,0.04081632653061223,0.04081632653061223,0.04081632653061223,0.04081632653061223,0.04081632653061223,0.02040816326530611,0.02040816326530611,0,0.7294617758571429,0.8905439745744681,0.910638379212766,0.8845106488297872,0.8764828958297872
"Baja California Sur",0.4443834893111111,0.29533333333333334,0.5934336453555555,0.44377777777777777,0.7822222222222223,0.4888888888888888,0.17777777777777776,0.32777777775555555,0.1175,0.2750000000000001,0.12375,0.04999999999999999,0.125,0.02499999999999998,0.4837476073333334,0.6838122095454545,0.8049242424090909,0.8323863637272727,0.41412602261363635,0.19244444444444445,0.37777777777777777,0.24444444444444444,0.09444444444444444,0.3555555555555555,0.06666666666666668,0.01111111111111111,0.7031196832222222,0.2104444444444444,0.1444444444444445,0.24444444444444444,0.24444444444444444,0.24444444444444444,0.24444444444444444,0.24444444444444444,0.02222222222222222,0.22222222222222215,0.22222222222222215,0.24444444444444444,0.24444444444444444,0.6409938361395349,0.8305394541333333,0.878055224,0.7685383124,0.8450248258666667
"Campeche",0.4466153656785714,0.27794642857142854,0.6152843029642857,0.3817857142857143,0.7571428571428571,0.375,0.125,0.2708333333035714,0.09184210526315788,0.26315789473684215,0.10421052631578943,0.13157894736842102,0.05263157894736843,0,0.4953203123214286,0.6719624251964286,0.8735119046964286,0.7708333333392857,0.3715420374642857,0.23035714285714284,0.4821428571428571,0.19642857142857145,0.10714285714285714,0.42857142857142855,0.16071428571428573,0.00892857142857142,0.7352482935357143,0.01214285714285714,0.00892857142857142,0.01785714285714285,0.01785714285714285,0.01785714285714285,0.01785714285714285,0.01785714285714285,0,0.01785714285714285,0.01785714285714285,0,0,0.743282452,0.8517487869107143,0.9599979544107144,0.6452528686964286,0.9499955375714286
"Chiapas",0.4144888622608696,0.2757971014492754,0.5531806230724637,0.3497101449275362,0.727536231884058,0.3188405797101449,0.17391304347826086,0.1799516907826087,0.1927941176470588,0.38235294117647056,0.17970588235294122,0.14705882352941177,0.25,0.02941176470588235,0.446316299173913,0.606662430942029,0.7862318839710145,0.6714975845217391,0.3622578244057971,0.2057971014492754,0.4057971014492754,0.1811594202898551,0.08695652173913046,0.3478260869565218,0.13043478260869562,0.07971014492753623,0.6600449469130435,0.16478260869565212,0.17391304347826092,0.2028985507246377,0.2028985507246377,0.2028985507246377,0.2028985507246377,0.2028985507246377,0,0.2028985507246377,0.2028985507246377,0.1594202898550725,0.05797101449275361,0.5558569014057971,0.7946826927391304,0.8726710286811594,0.6484553820144927,0.8629216674782609
"Chihuahua",0.4872512425151515,0.3568939393939394,0.6176085456818182,0.4393939393939394,0.6757575757575758,0.5,0.2272727272727273,0.35732323230303037,0.24482758620689657,0.3448275862068965,0.20551724137931035,0.20689655172413796,0.32758620689655177,0.1206896551724138,0.5117469977727273,0.718972268969697,0.8358585857878787,0.8055555555909091,0.5155026655909091,0.20090909090909093,0.34848484848484845,0.25,0.09848484848484848,0.39393939393939387,0.10606060606060612,0.00757575757575758,0.7234700935454546,0.08196969696969693,0.08333333333333333,0.10606060606060612,0.10606060606060612,0.10606060606060612,0.10606060606060612,0.10606060606060612,0,0.10606060606060612,0.10606060606060612,0.06060606060606063,0.01515151515151516,0.7876247801692308,0.8042763372878788,0.8366379953787879,0.8296844795151516,0.746506537
"Ciudad de México",0.54106043895,0.4186666666666667,0.6634542111166667,0.48583333333333334,0.8300000000000001,0.5166666666666667,0.2666666666666667,0.3305555555333333,0.32703703703703707,0.5185185185185186,0.32537037037037037,0.2962962962962963,0.3888888888888889,0.14814814814814814,0.5248347988833333,0.6761691093166666,0.8333333332999999,0.6527777777666667,0.5423962169166666,0.29783333333333334,0.55,0.4,0.11666666666666664,0.55,0.11666666666666664,0.04999999999999998,0.8020736233333333,0.30733333333333335,0.20833333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.23333333333333328,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.2833333333333334,0.8464328679152543,0.8694043232499999,0.9261645915833332,0.8994049737833333,0.7826434042333333
"Coahuila",0.4005583412459016,0.2595081967213115,0.5416084857213115,0.4019672131147541,0.7147540983606557,0.4098360655737705,0.21311475409836064,0.2704918032622951,0.10661016949152542,0.2542372881355932,0.1347457627118644,0.1186440677966102,0.10169491525423732,0,0.5081101325901639,0.6904567783114754,0.8087431693442623,0.790983606590164,0.4716435591147541,0.23459016393442625,0.4754098360655738,0.2213114754098361,0.1024590163934426,0.4262295081967213,0.1639344262295082,0.01639344262295081,0.5751068387704918,0.03655737704918034,0.04098360655737705,0.04918032786885243,0.04918032786885243,0.04918032786885243,0.04918032786885243,0.04918032786885243,0,0.04918032786885243,0.04918032786885243,0.01639344262295081,0,0.3847637415573771,0.7600366309836065,0.8018308219836066,0.7897534967704918,0.6885255739672131
"Colima",0.44059883437254904,0.3081372549019608,0.5730604138039216,0.4470588235294118,0.7411764705882353,0.4901960784313726,0.19607843137254904,0.3611111110980392,0.1608695652173913,0.28260869565217395,0.115,0.21739130434782605,0.17391304347826095,0.06521739130434782,0.5228351878431373,0.7416198193,0.84999999994,0.84666666666,0.52819279136,0.2164705882352941,0.3725490196078431,0.1764705882352941,0.0931372549019608,0.411764705882353,0.19607843137254904,0.04901960784313724,0.6232856398431372,0.12392156862745096,0.12745098039215683,0.15686274509803927,0.15686274509803927,0.15686274509803927,0.15686274509803927,0.15686274509803927,0.01960784313725489,0.13725490196078435,0.15686274509803927,0.1176470588235294,0.01960784313725489,0.4509623844901961,0.80852810486,0.8417136561799999,0.7744031046,0.8094675538
"Durango",0.4655796913787879,0.3497727272727273,0.5813866554545455,0.4721212121212121,0.7272727272727273,0.5151515151515151,0.25757575757575757,0.3901515151363637,0.2293333333333333,0.46666666666666656,0.2255,0.18333333333333335,0.25,0.06666666666666668,0.4721100066969697,0.6860836011846154,0.8538461537384615,0.8538461539076923,0.35055849573846154,0.16106060606060604,0.30303030303030304,0.17424242424242423,0.07196969696969698,0.33333333333333337,0.06060606060606063,0.02272727272727273,0.6906633042121212,0,0,0,0,0,0,0,0,0,0,0,0,0.7271161117741936,0.8220363691846154,0.8902858863384615,0.7071394901538461,0.8686837310307692
